# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.8903,-7.5746,1.0797,1.0797
-1.8832,-7.5817,1.0855,1.0855
-1.8832,-7.5888,1.0844,1.0844
-1.8761,-7.5959,1.0903,1.0903
-1.8761,-7.6030,1.0892,1.0892
-1.8690,-7.6101,1.0953,1.0953
-1.8690,-7.6172,1.0943,1.0943
-1.8619,-7.6243,1.1005,1.1005
-1.8619,-7.6314,1.0992,1.0992
-1.8548,-7.6385,1.1043,1.1043
-1.8548,-7.6456,1.1026,1.1026
-1.8548,-7.6526,1.1009,1.1009
-1.8477,-7.6597,1.1062,1.1062
-1.8477,-7.6668,1.1047,1.1047
-1.8406,-7.6739,1.1101,1.1101
-1.8406,-7.6810,1.1086,1.1086
-1.8406,-7.6881,1.1072,1.1072
-1.8335,-7.6952,1.1127,1.1127
-1.8265,-7.7023,1.1184,1.1184
-1.8265,-7.7094,1.1171,1.1171
-1.8265,-7.7165,1.1158,1.1158
-1.8194,-7.7236,1.1216,1.1216
-1.8194,-7.7307,1.1205,1.1205
-1.8194,-7.7378,1.1194,1.1194
-1.8123,-7.7448,1.1250,1.1250
-1.8052,-7.7519,1.1302,1.1302
-1.8052,-7.7590,1.1286,1.1286
-1.7981,-7.7661,1.1339,1.1339
-1.7981,-7.7732,1.1324,1.1324
-1.7981,-7.7803,1.1309,1.1309
-1.7910,-7.7874,1.1364,1.1364
-1.7839,-7.7945,1.1419,1.1419
-1.7839,-7.8016,1.1406,1.1406
-1.7768,-7.8087,1.1463,1.1463
-1.7768,-7.8158,1.1450,1.1450
-1.7697,-7.8229,1.1508,1.1508
-1.7697,-7.8300,1.1496,1.1496
-1.7626,-7.8370,1.1555,1.1555
-1.7626,-7.8441,1.1545,1.1545
-1.7555,-7.8512,1.1602,1.1602
-1.7555,-7.8583,1.1590,1.1590
-1.7484,-7.8654,1.1648,1.1648
-1.7413,-7.8725,1.1706,1.1706
-1.7413,-7.8796,1.1695,1.1695
-1.7343,-7.8867,1.1755,1.1755
-1.7272,-7.8938,1.1815,1.1815
-1.7272,-7.9009,1.1806,1.1806
-1.7201,-7.9080,1.1867,1.1867
-1.7130,-7.9151,1.1929,1.1929
-1.7059,-7.9221,1.1991,1.1991
-1.7059,-7.9292,1.1983,1.1983
-1.6988,-7.9363,1.2046,1.2046
-1.6917,-7.9434,1.2110,1.2110
-1.6846,-7.9505,1.2174,1.2174
-1.6846,-7.9576,1.2168,1.2168
-1.6775,-7.9647,1.2233,1.2233
-1.6704,-7.9718,1.2299,1.2299
-1.6633,-7.9789,1.2365,1.2365
-1.6562,-7.9860,1.2432,1.2432
-1.6491,-7.9931,1.2499,1.2499
-1.6421,-7.9931,1.2569,1.2569
-1.6350,-8.0002,1.2637,1.2637
-1.6279,-8.0073,1.2705,1.2705
-1.6208,-8.0143,1.2773,1.2773
-1.6137,-8.0214,1.2842,1.2842
-1.6137,-8.0285,1.2840,1.2840
-1.6066,-8.0356,1.2909,1.2909
-1.5995,-8.0427,1.2966,1.2966
-1.5924,-8.0498,1.3024,1.3024
-1.5853,-8.0569,1.3082,1.3082
-1.5853,-8.0640,1.3071,1.3071
-1.5782,-8.0711,1.3130,1.3130
-1.5711,-8.0711,1.3200,1.3200
-1.5640,-8.0782,1.3260,1.3260
-1.5570,-8.0853,1.3320,1.3320
-1.5499,-8.0853,1.3390,1.3390
-1.5428,-8.0924,1.3451,1.3451
-1.5357,-8.0924,1.3521,1.3521
-1.5286,-8.0995,1.3582,1.3582
-1.5215,-8.1065,1.3644,1.3644
-1.5144,-8.1065,1.3714,1.3714
-1.5073,-8.1065,1.3785,1.3785
-1.5002,-8.1136,1.3847,1.3847
-1.4931,-8.1207,1.3910,1.3910
-1.4860,-8.1207,1.3980,1.3980
-1.4789,-8.1278,1.4028,1.4028
-1.4718,-8.1278,1.4048,1.4048
-1.4648,-8.1349,1.4001,1.4001
-1.4577,-8.1349,1.4021,1.4021
-1.4506,-8.1420,1.3971,1.3971
-1.4435,-8.1420,1.3990,1.3990
-1.4364,-8.1491,1.3941,1.3941
-1.4293,-8.1491,1.3960,1.3960
-1.4222,-8.1562,1.3912,1.3912
-1.4151,-8.1562,1.3933,1.3933
-1.4080,-8.1633,1.3886,1.3886
-1.4009,-8.1633,1.3907,1.3907
-1.3938,-8.1704,1.3861,1.3861
-1.3867,-8.1704,1.3883,1.3883
-1.3796,-8.1775,1.3838,1.3838
-1.3726,-8.1775,1.3860,1.3860
-1.3655,-8.1775,1.3883,1.3883
-1.3584,-8.1846,1.3838,1.3838
-1.3513,-8.1846,1.3860,1.3860
-1.3442,-8.1917,1.3817,1.3817
-1.3371,-8.1917,1.3840,1.3840
-1.3300,-8.1917,1.3864,1.3864
-1.3229,-8.1917,1.3855,1.3855
-1.3158,-8.1987,1.3777,1.3777
-1.3087,-8.1987,1.3769,1.3769
-1.3016,-8.2058,1.3691,1.3691
-1.2945,-8.2058,1.3684,1.3684
-1.2874,-8.2058,1.3677,1.3677
-1.2804,-8.2129,1.3600,1.3600
-1.2733,-8.2129,1.3594,1.3594
-1.2662,-8.2129,1.3588,1.3588
-1.2591,-8.2129,1.3582,1.3582
-1.2520,-8.2129,1.3577,1.3577
-1.2449,-8.2200,1.3502,1.3502
-1.2378,-8.2200,1.3498,1.3498
-1.2307,-8.2200,1.3494,1.3494
-1.2236,-8.2200,1.3490,1.3490
-1.2165,-8.2200,1.3487,1.3487
-1.2094,-8.2200,1.3484,1.3484
-1.2023,-8.2271,1.3411,1.3411
-1.1952,-8.2271,1.3409,1.3409
-1.1882,-8.2271,1.3407,1.3407
-1.1811,-8.2271,1.3406,1.3406
-1.1740,-8.2271,1.3405,1.3405
-1.1669,-8.2271,1.3404,1.3404
-1.1598,-8.2271,1.3404,1.3404
-1.1527,-8.2271,1.3404,1.3404
-1.1456,-8.2271,1.3404,1.3404
-1.1385,-8.2271,1.3404,1.3404
-1.1314,-8.2200,1.3475,1.3475
-1.1243,-8.2200,1.3475,1.3475
-1.1172,-8.2200,1.3475,1.3475
-1.1101,-8.2271,1.3404,1.3404
-1.1030,-8.2271,1.3404,1.3404
-1.0960,-8.2200,1.3475,1.3475
-1.0889,-8.2200,1.3475,1.3475
-1.0818,-8.2200,1.3470,1.3470
-1.0747,-8.2200,1.3460,1.3460
-1.0676,-8.2200,1.3451,1.3451
-1.0605,-8.2200,1.3442,1.3442
-1.0534,-8.2200,1.3433,1.3433
-1.0463,-8.2200,1.3424,1.3424
-1.0392,-8.2200,1.3416,1.3416
-1.0321,-8.2129,1.3479,1.3479
