# x_m,y_m,w_tr_right_m,w_tr_left_m
2.1081,-0.2162,0.7156,0.7156
2.1189,-0.2162,0.7148,0.7148
2.1297,-0.2162,0.7143,0.7143
2.1405,-0.2162,0.7138,0.7138
2.1514,-0.2162,0.7136,0.7136
2.1622,-0.2162,0.7135,0.7135
2.1730,-0.2162,0.7135,0.7135
2.1838,-0.2162,0.7135,0.7135
2.1946,-0.2162,0.7135,0.7135
2.2054,-0.2270,0.7027,0.7027
2.2162,-0.2270,0.7027,0.7027
2.2270,-0.2270,0.7027,0.7027
2.2378,-0.2270,0.7027,0.7027
2.2486,-0.2270,0.7027,0.7027
2.2595,-0.2270,0.7027,0.7027
2.2703,-0.2270,0.7027,0.7027
2.2811,-0.2270,0.7027,0.7027
2.2919,-0.2270,0.7027,0.7027
2.3027,-0.2270,0.7027,0.7027
2.3135,-0.2270,0.7028,0.7028
2.3243,-0.2270,0.7030,0.7030
2.3351,-0.2378,0.6927,0.6927
2.3459,-0.2378,0.6932,0.6932
2.3568,-0.2378,0.6940,0.6940
2.3676,-0.2378,0.6949,0.6949
2.3784,-0.2378,0.6960,0.6960
2.3892,-0.2378,0.6973,0.6973
2.4000,-0.2378,0.6987,0.6987
2.4108,-0.2486,0.6896,0.6896
2.4216,-0.2486,0.6914,0.6914
2.4324,-0.2486,0.6933,0.6933
2.4432,-0.2486,0.6954,0.6954
2.4541,-0.2486,0.6977,0.6977
2.4649,-0.2486,0.7001,0.7001
2.4757,-0.2486,0.7027,0.7027
2.4865,-0.2486,0.7054,0.7054
2.4973,-0.2486,0.7083,0.7083
2.5081,-0.2595,0.7001,0.7001
2.5189,-0.2595,0.7027,0.7027
2.5297,-0.2595,0.7054,0.7054
2.5405,-0.2595,0.7083,0.7083
2.5514,-0.2595,0.7114,0.7114
2.5622,-0.2595,0.7146,0.7146
2.5730,-0.2595,0.7179,0.7179
2.5838,-0.2595,0.7214,0.7214
2.5946,-0.2595,0.7249,0.7249
2.6054,-0.2595,0.7282,0.7282
2.6162,-0.2703,0.7214,0.7214
2.6270,-0.2703,0.7251,0.7251
2.6378,-0.2703,0.7288,0.7288
2.6486,-0.2703,0.7327,0.7327
2.6595,-0.2703,0.7352,0.7352
2.6703,-0.2703,0.7321,0.7321
2.6811,-0.2703,0.7291,0.7291
2.6919,-0.2811,0.7368,0.7368
2.7027,-0.2811,0.7342,0.7342
2.7135,-0.2811,0.7317,0.7317
2.7243,-0.2919,0.7400,0.7400
2.7351,-0.2919,0.7378,0.7378
2.7459,-0.2919,0.7359,0.7359
2.7568,-0.2919,0.7340,0.7340
2.7676,-0.3027,0.7423,0.7423
2.7784,-0.3027,0.7400,0.7400
2.7892,-0.3027,0.7378,0.7378
2.8000,-0.3135,0.7465,0.7465
2.8108,-0.3135,0.7447,0.7447
2.8216,-0.3243,0.7494,0.7494
2.8324,-0.3243,0.7500,0.7500
2.8432,-0.3243,0.7468,0.7468
2.8541,-0.3351,0.7529,0.7529
2.8649,-0.3351,0.7491,0.7491
2.8757,-0.3351,0.7454,0.7454
2.8865,-0.3459,0.7521,0.7521
2.8973,-0.3459,0.7488,0.7488
2.9081,-0.3568,0.7559,0.7559
2.9189,-0.3568,0.7529,0.7529
2.9297,-0.3568,0.7500,0.7500
2.9405,-0.3676,0.7578,0.7578
2.9514,-0.3676,0.7544,0.7544
2.9622,-0.3784,0.7596,0.7596
2.9730,-0.3892,0.7651,0.7651
2.9838,-0.3892,0.7609,0.7609
2.9946,-0.4000,0.7669,0.7669
3.0054,-0.4000,0.7630,0.7630
3.0162,-0.4108,0.7694,0.7694
3.0270,-0.4108,0.7658,0.7658
3.0378,-0.4216,0.7727,0.7727
3.0486,-0.4324,0.7797,0.7797
3.0595,-0.4432,0.7803,0.7803
3.0703,-0.4432,0.7767,0.7767
3.0811,-0.4541,0.7796,0.7796
3.0919,-0.4649,0.7811,0.7811
