# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.5175,-6.6250,0.6876,0.6876
-3.5175,-6.6375,0.6875,0.6875
-3.5175,-6.6500,0.6875,0.6875
-3.5175,-6.6625,0.6875,0.6875
-3.5175,-6.6750,0.6875,0.6875
-3.5175,-6.6875,0.6875,0.6875
-3.5175,-6.7000,0.6875,0.6875
-3.5175,-6.7125,0.6875,0.6875
-3.5050,-6.7250,0.6750,0.6750
-3.5050,-6.7375,0.6750,0.6750
-3.5050,-6.7500,0.6750,0.6750
-3.5050,-6.7625,0.6750,0.6750
-3.5050,-6.7750,0.6750,0.6750
-3.5050,-6.7875,0.6742,0.6742
-3.5050,-6.8000,0.6720,0.6720
-3.5050,-6.8125,0.6700,0.6700
-3.5050,-6.8250,0.6683,0.6683
-3.5050,-6.8375,0.6667,0.6667
-3.5050,-6.8500,0.6654,0.6654
-3.5050,-6.8625,0.6644,0.6644
-3.5050,-6.8750,0.6636,0.6636
-3.5050,-6.8875,0.6630,0.6630
-3.4925,-6.9000,0.6501,0.6501
-3.4925,-6.9125,0.6500,0.6500
-3.4925,-6.9250,0.6500,0.6500
-3.4925,-6.9375,0.6500,0.6500
-3.4925,-6.9500,0.6500,0.6500
-3.4925,-6.9625,0.6500,0.6500
-3.4925,-6.9750,0.6500,0.6500
-3.4925,-6.9875,0.6500,0.6500
-3.4925,-7.0000,0.6500,0.6500
-3.4925,-7.0125,0.6500,0.6500
-3.4925,-7.0250,0.6500,0.6500
-3.4925,-7.0375,0.6501,0.6501
-3.4925,-7.0500,0.6505,0.6505
-3.4925,-7.0625,0.6511,0.6511
-3.4925,-7.0750,0.6519,0.6519
-3.4925,-7.0875,0.6530,0.6530
-3.4925,-7.1000,0.6543,0.6543
-3.4925,-7.1125,0.6559,0.6559
-3.4925,-7.1250,0.6576,0.6576
-3.4800,-7.1375,0.6474,0.6474
-3.4800,-7.1500,0.6496,0.6496
-3.4800,-7.1625,0.6522,0.6522
-3.4800,-7.1750,0.6543,0.6543
-3.4800,-7.1875,0.6559,0.6559
-3.4800,-7.2000,0.6576,0.6576
-3.4800,-7.2125,0.6597,0.6597
-3.4800,-7.2250,0.6619,0.6619
-3.4800,-7.2375,0.6644,0.6644
-3.4800,-7.2500,0.6636,0.6636
-3.4800,-7.2625,0.6630,0.6630
-3.4800,-7.2750,0.6626,0.6626
-3.4800,-7.2875,0.6619,0.6619
-3.4675,-7.3000,0.6681,0.6681
-3.4675,-7.3125,0.6700,0.6700
-3.4675,-7.3250,0.6683,0.6683
-3.4675,-7.3375,0.6667,0.6667
-3.4675,-7.3500,0.6654,0.6654
-3.4675,-7.3625,0.6644,0.6644
-3.4675,-7.3750,0.6636,0.6636
-3.4675,-7.3875,0.6619,0.6619
-3.4550,-7.4000,0.6720,0.6720
-3.4550,-7.4125,0.6700,0.6700
-3.4550,-7.4250,0.6683,0.6683
-3.4550,-7.4375,0.6667,0.6667
-3.4550,-7.4500,0.6644,0.6644
-3.4550,-7.4625,0.6619,0.6619
-3.4550,-7.4750,0.6597,0.6597
-3.4550,-7.4875,0.6576,0.6576
-3.4550,-7.5000,0.6559,0.6559
-3.4550,-7.5125,0.6543,0.6543
-3.4425,-7.5250,0.6644,0.6644
-3.4425,-7.5375,0.6619,0.6619
-3.4425,-7.5500,0.6597,0.6597
-3.4425,-7.5625,0.6576,0.6576
-3.4425,-7.5750,0.6559,0.6559
-3.4425,-7.5875,0.6543,0.6543
-3.4425,-7.6000,0.6530,0.6530
-3.4425,-7.6125,0.6519,0.6519
-3.4300,-7.6250,0.6636,0.6636
-3.4300,-7.6375,0.6619,0.6619
-3.4300,-7.6500,0.6597,0.6597
-3.4300,-7.6625,0.6576,0.6576
-3.4300,-7.6750,0.6559,0.6559
-3.4175,-7.6875,0.6667,0.6667
-3.4175,-7.7000,0.6654,0.6654
-3.4175,-7.7125,0.6644,0.6644
-3.4175,-7.7250,0.6636,0.6636
-3.4175,-7.7375,0.6630,0.6630
-3.4175,-7.7500,0.6626,0.6626
-3.4175,-7.7625,0.6625,0.6625
-3.4175,-7.7750,0.6625,0.6625
-3.4050,-7.7875,0.6750,0.6750
-3.4050,-7.8000,0.6750,0.6750
-3.4050,-7.8125,0.6750,0.6750
-3.4050,-7.8250,0.6750,0.6750
-3.4050,-7.8375,0.6750,0.6750
-3.4050,-7.8500,0.6750,0.6750
-3.3925,-7.8625,0.6875,0.6875
-3.3925,-7.8750,0.6865,0.6865
-3.3925,-7.8875,0.6843,0.6843
-3.3925,-7.9000,0.6824,0.6824
-3.3925,-7.9125,0.6806,0.6806
-3.3925,-7.9250,0.6792,0.6792
-3.3800,-7.9375,0.6903,0.6903
-3.3800,-7.9500,0.6893,0.6893
-3.3800,-7.9625,0.6885,0.6885
-3.3800,-7.9750,0.6880,0.6880
-3.3800,-7.9875,0.6876,0.6876
-3.3675,-8.0000,0.7000,0.7000
-3.3675,-8.0125,0.7001,0.7001
-3.3675,-8.0250,0.7004,0.7004
-3.3675,-8.0375,0.7010,0.7010
-3.3675,-8.0500,0.7018,0.7018
-3.3550,-8.0625,0.7152,0.7152
-3.3550,-8.0750,0.7164,0.7164
-3.3550,-8.0875,0.7179,0.7179
-3.3550,-8.1000,0.7195,0.7195
-3.3425,-8.1125,0.7337,0.7337
-3.3425,-8.1250,0.7357,0.7357
-3.3425,-8.1375,0.7375,0.7375
-3.3425,-8.1500,0.7375,0.7375
-3.3300,-8.1625,0.7500,0.7500
-3.3300,-8.1750,0.7500,0.7500
-3.3300,-8.1875,0.7500,0.7500
-3.3300,-8.2000,0.7500,0.7500
-3.3175,-8.2125,0.7625,0.7625
-3.3050,-8.2250,0.7750,0.7750
-3.3050,-8.2375,0.7750,0.7750
-3.3050,-8.2500,0.7750,0.7750
-3.2925,-8.2625,0.7875,0.7875
-3.2925,-8.2750,0.7875,0.7875
-3.2800,-8.2875,0.8000,0.8000
-3.2800,-8.3000,0.8000,0.8000
-3.2675,-8.3125,0.8125,0.8125
-3.2675,-8.3250,0.8125,0.8125
-3.2550,-8.3375,0.8250,0.8250
-3.2550,-8.3500,0.8250,0.8250
-3.2550,-8.3625,0.8250,0.8250
-3.2425,-8.3750,0.8375,0.8375
-3.2300,-8.3875,0.8500,0.8500
-3.2300,-8.4000,0.8500,0.8500
-3.2175,-8.4125,0.8625,0.8625
-3.2175,-8.4250,0.8625,0.8625
-3.2050,-8.4375,0.8750,0.8750
-3.1925,-8.4500,0.8875,0.8875
-3.1925,-8.4625,0.8857,0.8857
-3.1925,-8.4750,0.8839,0.8839
-3.1800,-8.4875,0.8946,0.8946
-3.1675,-8.5000,0.9055,0.9055
-3.1550,-8.5125,0.9167,0.9167
-3.1550,-8.5250,0.9146,0.9146
-3.1425,-8.5375,0.9247,0.9247
-3.1425,-8.5500,0.9220,0.9220
-3.1300,-8.5625,0.9308,0.9308
-3.1175,-8.5750,0.9398,0.9398
-3.1175,-8.5875,0.9368,0.9368
-3.1050,-8.6000,0.9448,0.9448
-3.1050,-8.6125,0.9405,0.9405
-3.0925,-8.6250,0.9471,0.9471
-3.0800,-8.6375,0.9540,0.9540
-3.0675,-8.6500,0.9612,0.9612
-3.0675,-8.6625,0.9569,0.9569
-3.0550,-8.6750,0.9635,0.9635
-3.0550,-8.6875,0.9587,0.9587
-3.0425,-8.7000,0.9657,0.9657
-3.0300,-8.7125,0.9728,0.9728
-3.0175,-8.7250,0.9783,0.9783
-3.0175,-8.7375,0.9728,0.9728
-3.0050,-8.7500,0.9783,0.9783
-2.9925,-8.7625,0.9839,0.9839
-2.9800,-8.7750,0.9895,0.9895
-2.9675,-8.7875,0.9953,0.9953
-2.9550,-8.8000,0.9977,0.9977
-2.9550,-8.8125,0.9900,0.9900
-2.9425,-8.8250,0.9926,0.9926
-2.9300,-8.8375,0.9954,0.9954
-2.9175,-8.8500,0.9977,0.9977
-2.9050,-8.8625,1.0000,1.0000
-2.8925,-8.8750,1.0027,1.0027
-2.8800,-8.8875,1.0056,1.0056
-2.8675,-8.9000,1.0027,1.0027
-2.8550,-8.9125,1.0000,1.0000
-2.8425,-8.9250,0.9977,0.9977
-2.8300,-8.9375,0.9956,0.9956
-2.8175,-8.9500,0.9939,0.9939
-2.8050,-8.9625,0.9925,0.9925
-2.7925,-8.9750,0.9900,0.9900
-2.7800,-8.9875,0.9878,0.9878
-2.7675,-8.9875,0.9956,0.9956
-2.7550,-9.0000,0.9939,0.9939
-2.7425,-9.0125,0.9925,0.9925
-2.7300,-9.0250,0.9914,0.9914
-2.7175,-9.0375,0.9906,0.9906
-2.7050,-9.0500,0.9884,0.9884
-2.6925,-9.0500,0.9899,0.9899
-2.6800,-9.0625,0.9895,0.9895
-2.6675,-9.0750,0.9839,0.9839
-2.6550,-9.0875,0.9787,0.9787
-2.6425,-9.1000,0.9737,0.9737
-2.6300,-9.1125,0.9684,0.9684
-2.6175,-9.1250,0.9605,0.9605
-2.6050,-9.1375,0.9527,0.9527
-2.5925,-9.1500,0.9448,0.9448
-2.5800,-9.1625,0.9368,0.9368
-2.5675,-9.1625,0.9409,0.9409
-2.5550,-9.1750,0.9329,0.9329
-2.5425,-9.1875,0.9250,0.9250
-2.5300,-9.1875,0.9291,0.9291
-2.5175,-9.2000,0.9217,0.9217
-2.5050,-9.2125,0.9146,0.9146
-2.4925,-9.2250,0.9077,0.9077
-2.4800,-9.2375,0.9011,0.9011
-2.4675,-9.2375,0.9053,0.9053
-2.4550,-9.2500,0.8973,0.8973
-2.4425,-9.2500,0.9004,0.9004
-2.4300,-9.2625,0.8914,0.8914
-2.4175,-9.2625,0.8946,0.8946
-2.4050,-9.2750,0.8839,0.8839
-2.3925,-9.2875,0.8734,0.8734
-2.3800,-9.2875,0.8754,0.8754
-2.3675,-9.3000,0.8654,0.8654
-2.3550,-9.3125,0.8545,0.8545
-2.3425,-9.3125,0.8559,0.8559
-2.3300,-9.3250,0.8450,0.8450
-2.3175,-9.3250,0.8468,0.8468
-2.3050,-9.3375,0.8364,0.8364
-2.2925,-9.3375,0.8385,0.8385
-2.2800,-9.3500,0.8286,0.8286
-2.2675,-9.3500,0.8310,0.8310
-2.2550,-9.3625,0.8203,0.8203
-2.2425,-9.3750,0.8097,0.8097
-2.2300,-9.3750,0.8117,0.8117
-2.2175,-9.3875,0.8009,0.8009
-2.2050,-9.4000,0.7891,0.7891
-2.1925,-9.4000,0.7900,0.7900
-2.1800,-9.4125,0.7786,0.7786
-2.1675,-9.4125,0.7799,0.7799
-2.1550,-9.4250,0.7690,0.7690
-2.1425,-9.4250,0.7708,0.7708
-2.1300,-9.4375,0.7603,0.7603
-2.1175,-9.4375,0.7625,0.7625
-2.1050,-9.4375,0.7634,0.7634
-2.0925,-9.4500,0.7517,0.7517
-2.0800,-9.4500,0.7526,0.7526
-2.0675,-9.4625,0.7413,0.7413
-2.0550,-9.4625,0.7427,0.7427
-2.0425,-9.4625,0.7442,0.7442
-2.0300,-9.4750,0.7337,0.7337
-2.0175,-9.4750,0.7357,0.7357
-2.0050,-9.4875,0.7250,0.7250
-1.9925,-9.4875,0.7250,0.7250
-1.9800,-9.4875,0.7250,0.7250
-1.9675,-9.5000,0.7125,0.7125
-1.9550,-9.5000,0.7126,0.7126
-1.9425,-9.5000,0.7129,0.7129
-1.9300,-9.5125,0.7010,0.7010
-1.9175,-9.5125,0.7018,0.7018
-1.9050,-9.5125,0.7028,0.7028
-1.8925,-9.5125,0.7040,0.7040
-1.8800,-9.5125,0.7054,0.7054
-1.8675,-9.5250,0.6947,0.6947
-1.8550,-9.5250,0.6966,0.6966
-1.8425,-9.5250,0.6988,0.6988
-1.8300,-9.5250,0.7000,0.7000
-1.8175,-9.5375,0.6875,0.6875
-1.8050,-9.5375,0.6875,0.6875
-1.7925,-9.5375,0.6875,0.6875
-1.7800,-9.5375,0.6875,0.6875
-1.7675,-9.5375,0.6875,0.6875
-1.7550,-9.5375,0.6875,0.6875
-1.7425,-9.5375,0.6876,0.6876
-1.7300,-9.5375,0.6880,0.6880
-1.7175,-9.5375,0.6885,0.6885
-1.7050,-9.5375,0.6893,0.6893
-1.6925,-9.5375,0.6903,0.6903
-1.6800,-9.5375,0.6916,0.6916
-1.6675,-9.5375,0.6903,0.6903
-1.6550,-9.5375,0.6893,0.6893
-1.6425,-9.5375,0.6885,0.6885
-1.6300,-9.5375,0.6880,0.6880
-1.6175,-9.5375,0.6876,0.6876
-1.6050,-9.5375,0.6875,0.6875
-1.5925,-9.5375,0.6875,0.6875
-1.5800,-9.5250,0.6821,0.6821
-1.5675,-9.5250,0.6793,0.6793
-1.5550,-9.5250,0.6766,0.6766
-1.5425,-9.5250,0.6742,0.6742
-1.5300,-9.5250,0.6720,0.6720
-1.5175,-9.5250,0.6700,0.6700
-1.5050,-9.5250,0.6683,0.6683
-1.4925,-9.5250,0.6667,0.6667
-1.4800,-9.5250,0.6654,0.6654
-1.4675,-9.5250,0.6644,0.6644
-1.4550,-9.5250,0.6636,0.6636
-1.4425,-9.5250,0.6630,0.6630
-1.4300,-9.5250,0.6626,0.6626
-1.4175,-9.5250,0.6625,0.6625
-1.4050,-9.5250,0.6625,0.6625
-1.3925,-9.5125,0.6500,0.6500
-1.3800,-9.5125,0.6500,0.6500
-1.3675,-9.5125,0.6500,0.6500
-1.3550,-9.5125,0.6500,0.6500
-1.3425,-9.5125,0.6500,0.6500
-1.3300,-9.5125,0.6501,0.6501
-1.3175,-9.5125,0.6505,0.6505
-1.3050,-9.5000,0.6386,0.6386
-1.2925,-9.5000,0.6395,0.6395
-1.2800,-9.5000,0.6406,0.6406
-1.2675,-9.5000,0.6419,0.6419
-1.2550,-9.5000,0.6435,0.6435
-1.2425,-9.5000,0.6453,0.6453
-1.2300,-9.4875,0.6350,0.6350
-1.2175,-9.4875,0.6374,0.6374
-1.2050,-9.4875,0.6399,0.6399
-1.1925,-9.4875,0.6427,0.6427
-1.1800,-9.4875,0.6458,0.6458
-1.1675,-9.4875,0.6490,0.6490
-1.1550,-9.4875,0.6525,0.6525
-1.1425,-9.4750,0.6443,0.6443
-1.1300,-9.4750,0.6483,0.6483
-1.1175,-9.4750,0.6525,0.6525
-1.1050,-9.4750,0.6569,0.6569
