# x_m,y_m,w_tr_right_m,w_tr_left_m
4.2007,2.5893,0.7500,0.7500
4.2007,2.6393,0.7500,0.7500
4.2007,2.6893,0.7500,0.7500
4.2007,2.7393,0.7500,0.7500
4.2007,2.7893,0.7500,0.7500
4.2007,2.8393,0.7517,0.7517
4.2007,2.8893,0.7566,0.7566
4.2007,2.9393,0.7649,0.7649
4.2007,2.9893,0.7762,0.7762
4.2007,3.0393,0.7906,0.7906
4.2007,3.0893,0.8000,0.8000
4.2007,3.1393,0.8000,0.8000
4.2007,3.1893,0.8000,0.8000
4.2007,3.2393,0.8000,0.8000
4.2007,3.2893,0.8000,0.8000
4.2007,3.3393,0.8000,0.8000
4.2007,3.3893,0.8000,0.8000
4.2007,3.4393,0.8000,0.8000
4.2007,3.4893,0.8000,0.8000
4.2007,3.5393,0.8000,0.8000
4.2007,3.5893,0.8000,0.8000
4.2007,3.6393,0.8000,0.8000
4.2007,3.6893,0.8000,0.8000
4.2007,3.7393,0.8000,0.8000
4.2007,3.7893,0.8000,0.8000
4.2007,3.8393,0.8000,0.8000
4.2007,3.8893,0.8000,0.8000
4.2007,3.9393,0.8016,0.8016
4.2007,3.9893,0.8062,0.8062
4.2007,4.0393,0.8139,0.8139
4.2007,4.0893,0.8246,0.8246
4.2007,4.1393,0.8382,0.8382
4.2007,4.1893,0.8544,0.8544
4.2007,4.2393,0.8732,0.8732
4.2007,4.2893,0.8944,0.8944
4.2007,4.3393,0.8860,0.8860
4.1507,4.3893,0.8944,0.8944
4.1507,4.4393,0.8732,0.8732
4.1007,4.4893,0.8500,0.8500
4.0507,4.4893,0.8602,0.8602
4.0007,4.5393,0.8382,0.8382
3.9507,4.5893,0.8078,0.8078
3.9007,4.6393,0.7762,0.7762
3.8507,4.6393,0.7906,0.7906
3.8007,4.6893,0.7616,0.7616
3.7507,4.6893,0.7762,0.7762
3.7007,4.7393,0.7433,0.7433
3.6507,4.7393,0.7616,0.7616
3.6007,4.7393,0.7382,0.7382
3.5507,4.7393,0.7159,0.7159
3.5007,4.7893,0.7433,0.7433
3.4507,4.7893,0.7280,0.7280
3.4007,4.7893,0.7159,0.7159
3.3507,4.7893,0.7071,0.7071
3.3007,4.7893,0.7018,0.7018
3.2507,4.7893,0.7000,0.7000
3.2007,4.7893,0.7000,0.7000
3.1507,4.8393,0.7500,0.7500
3.1007,4.8393,0.7517,0.7517
3.0507,4.8393,0.7566,0.7566
3.0007,4.8393,0.7649,0.7649
2.9507,4.8393,0.7762,0.7762
2.9007,4.8393,0.7906,0.7906
2.8507,4.8393,0.8078,0.8078
2.8007,4.8393,0.8276,0.8276
2.7507,4.8893,0.8000,0.8000
2.7007,4.8893,0.8000,0.8000
2.6507,4.8393,0.8500,0.8500
2.6007,4.8393,0.8500,0.8500
2.5507,4.7893,0.9000,0.9000
2.5007,4.7393,0.9192,0.9192
2.4507,4.7393,0.9179,0.9179
2.4007,4.6893,0.9394,0.9394
2.3507,4.6393,0.9552,0.9552
2.3007,4.5893,0.9605,0.9605
2.2507,4.5393,0.9708,0.9708
2.2007,4.4893,0.9862,0.9862
